ID;Time[s];
0;0.818255;Start bit
1;0.818263;00000001
2;0.818333;Stop bit
3;0.81835;Start bit
4;0.818359;00000010
5;0.818429;Stop bit
6;0.818446;Start bit
7;0.818454;11111101
8;0.818524;Stop bit
9;0.818541;Start bit
10;0.81855;00001010
11;0.818619;Stop bit
12;0.818637;Start bit
13;0.818645;00000000
14;0.818715;Stop bit
15;0.818732;Start bit
16;0.818741;00000001
17;0.81881;Stop bit
18;0.818828;Start bit
19;0.818836;00000000
20;0.818906;Stop bit
21;0.818923;Start bit
22;0.818932;00000000
23;0.819001;Stop bit
24;0.819019;Start bit
25;0.819027;00100100
26;0.819097;Stop bit
27;0.819114;Start bit
28;0.819123;01000000
29;0.819192;Stop bit
30;0.81921;Start bit
31;0.819218;10011100
32;0.819288;Stop bit
33;0.819305;Start bit
34;0.819314;11110011
35;0.819383;Stop bit
36;0.819401;Start bit
37;0.81941;00000100
38;0.819479;Stop bit
39;0.819496;Start bit
40;0.819505;00100000
41;0.819574;Stop bit
42;0.820521;Start bit
43;0.820529;00000001
44;0.820599;Stop bit
45;0.820616;Start bit
46;0.820625;00000010
47;0.820694;Stop bit
48;0.820712;Start bit
49;0.82072;11111101
50;0.82079;Stop bit
51;0.820807;Start bit
52;0.820816;00001010
53;0.820885;Stop bit
54;0.820903;Start bit
55;0.820912;00000001
56;0.820981;Stop bit
57;0.820998;Start bit
58;0.821007;00000001
59;0.821076;Stop bit
60;0.821094;Start bit
61;0.821102;11111100
62;0.821172;Stop bit
63;0.82119;Start bit
64;0.821198;00000010
65;0.821267;Stop bit
66;0.821285;Start bit
67;0.821294;00000000
68;0.821363;Stop bit
69;0.82138;Start bit
70;0.821389;00000000
71;0.821458;Stop bit
72;0.821476;Start bit
73;0.821484;00000000
74;0.821554;Stop bit
75;0.821572;Start bit
76;0.82158;00000000
77;0.821649;Stop bit
78;0.821667;Start bit
79;0.821676;00000000
80;0.821745;Stop bit
81;0.821762;Start bit
82;0.821771;00000000
83;0.82184;Stop bit
84;0.822787;Start bit
85;0.822796;00000001
86;0.822865;Stop bit
87;0.822882;Start bit
88;0.822891;00000010
89;0.82296;Stop bit
90;0.822978;Start bit
91;0.822986;11111101
92;0.823056;Stop bit
93;0.823074;Start bit
94;0.823082;00001010
95;0.823151;Stop bit
96;0.823169;Start bit
97;0.823178;00000001
98;0.823247;Stop bit
99;0.823264;Start bit
100;0.823273;00000001
101;0.823342;Stop bit
102;0.82336;Start bit
103;0.823368;00000100
104;0.823438;Stop bit
105;0.823456;Start bit
106;0.823464;00000010
107;0.823533;Stop bit
108;0.823551;Start bit
109;0.823559;00000000
110;0.823629;Stop bit
111;0.823646;Start bit
112;0.823655;00000000
113;0.823724;Stop bit
114;0.823742;Start bit
115;0.82375;11111111
116;0.82382;Stop bit
117;0.823838;Start bit
118;0.823846;00011111
119;0.823915;Stop bit
120;0.823933;Start bit
121;0.823941;00000000
122;0.824011;Stop bit
123;0.824028;Start bit
124;0.824037;00000000
125;0.824106;Stop bit
126;0.825053;Start bit
127;0.825062;00000001
128;0.825131;Stop bit
129;0.825148;Start bit
130;0.825157;00000010
131;0.825226;Stop bit
132;0.825244;Start bit
133;0.825252;11111101
134;0.825322;Stop bit
135;0.82534;Start bit
136;0.825348;00001010
137;0.825417;Stop bit
138;0.825435;Start bit
139;0.825443;00000001
140;0.825513;Stop bit
141;0.82553;Start bit
142;0.825539;00000001
143;0.825608;Stop bit
144;0.825626;Start bit
145;0.825634;00011000
146;0.825704;Stop bit
147;0.825721;Start bit
148;0.82573;00000010
149;0.825799;Stop bit
150;0.825817;Start bit
151;0.825825;00000000
152;0.825895;Stop bit
153;0.825912;Start bit
154;0.825921;00000000
155;0.82599;Stop bit
156;0.826008;Start bit
157;0.826016;11110111
158;0.826086;Stop bit
159;0.826103;Start bit
160;0.826112;00000111
161;0.826182;Stop bit
162;0.826199;Start bit
163;0.826207;00000000
164;0.826277;Stop bit
165;0.826294;Start bit
166;0.826303;00000000
167;0.826372;Stop bit
168;0.827318;Start bit
169;0.827327;00000001
170;0.827396;Stop bit
171;0.827414;Start bit
